time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
743946,0.73,1.43,-9.54,509
744970,0.76,1.43,-9.46,509
745995,0.73,1.50,-9.50,509
747019,0.73,1.47,-9.54,509
748043,0.80,1.47,-9.50,509
749067,0.73,1.50,-9.58,509
750091,0.76,1.47,-9.46,509
751115,0.76,1.47,-9.46,509
752139,0.73,1.43,-9.46,509
753178,0.80,1.62,-9.54,509
754203,0.76,1.47,-9.46,509
755227,0.76,1.50,-9.42,509
756390,0.80,1.39,-9.46,509
757414,0.80,1.47,-9.50,509
758438,0.73,1.54,-9.54,509
759474,0.76,1.50,-9.50,509
760498,0.73,1.47,-9.42,509
761523,0.76,1.50,-9.35,509
762547,0.80,1.47,-9.46,509
763571,0.76,1.50,-9.42,509
764595,0.76,1.47,-9.46,509
765619,0.76,1.50,-9.50,509
766643,0.80,1.39,-9.39,509
767668,0.73,1.54,-9.46,509
768692,0.76,1.47,-9.46,509
769716,0.80,1.47,-9.42,509
